VideoTitle,VideoDate,nLikes,nComments,nViews,Duration(seconds),VideoAge(Days),Like/ViewsRatio,Comments/ViewsRatio
"Feeding A Dog $1 vs $10,000 Steak",2023-12-14T18:00:00Z,984603,4893,17204318,27,1,0.057,0.0003
Could You Walk Up A Skyscraper?,2023-12-05T18:00:00Z,3307937,10677,45793128,50,10,0.072,0.0002
"$10,000 Every Day You Survive In A Grocery Store",2023-12-02T17:00:00Z,4238638,66094,122593525,1292,13,0.035,0.0005
"$1 vs $10,000,000 Job!",2023-11-25T17:00:00Z,3633117,62030,106407769,939,20,0.034,0.0006
I Spent 7 Days Buried Alive,2023-11-18T17:00:01Z,5396529,107221,111226930,1120,27,0.049,0.001
I Gave Away A House On Halloween,2023-11-10T18:00:00Z,5869644,17575,104490685,48,35,0.056,0.0002
Giving Car Keys Instead Of Candy On Halloween,2023-11-09T18:00:00Z,4927852,8345,109688721,32,36,0.045,0.0001
I Built 100 Wells In Africa,2023-11-04T16:00:00Z,8912795,207150,130187567,630,41,0.068,0.0016
"Furthest Away From Me Wins $10,000",2023-11-02T17:00:03Z,7226870,17960,139360863,48,43,0.052,0.0001
World’s Most Expensive Bed,2023-10-31T17:00:01Z,7693774,16466,116423293,48,45,0.066,0.0001
World’s Deadliest Laser Maze!,2023-10-28T15:59:59Z,3829506,85669,121156858,1559,48,0.032,0.0007
World’s Most Expensive Coffee,2023-10-19T17:00:03Z,4761638,18003,77957873,33,57,0.061,0.0002
"$100,000,000 Bathroom",2023-10-17T17:00:00Z,5484797,12268,100172599,50,59,0.055,0.0001
"$1 vs $100,000,000 House!",2023-10-14T16:00:00Z,4745109,132252,148867584,1056,62,0.032,0.0009
I Tipped A Pizza Delivery Driver A Car,2023-10-12T17:30:03Z,10245463,16952,168348754,52,64,0.061,0.0001
World's Most Dangerous Trap!,2023-10-07T16:00:00Z,5608191,155430,174802235,1188,69,0.032,0.0009
I NEED 1 MORE SUBSCRIBER,2023-10-05T17:00:01Z,19593368,61309,253183716,23,71,0.077,0.0002
"Guess The Gift, Keep It",2023-10-03T17:00:00Z,11956788,11147,294392090,45,73,0.041,0.0
"Spot The Hidden People For $10,000",2023-09-28T17:00:01Z,11735263,14992,284672206,35,78,0.041,0.0001
I Paid A Random Student’s College Tuition,2023-09-26T16:59:59Z,9845880,19978,140289364,37,80,0.07,0.0001
"$100,000,000 Car Doors",2023-09-19T17:00:00Z,12274070,17227,301832507,29,87,0.041,0.0001
"$1 vs $100,000,000 Car!",2023-09-16T16:00:01Z,5672398,145562,187011861,988,90,0.03,0.0008
Extreme Home Makeover!,2023-09-12T17:00:00Z,10039791,27795,148102313,57,94,0.068,0.0002
Katana Vs Bullet,2023-09-07T17:00:01Z,19243543,28555,388285942,41,99,0.05,0.0001
How Many School Buses Can We Stack?,2023-09-05T16:59:57Z,8214938,20000,190475124,45,101,0.043,0.0001
Lamborghini Vs World's Largest Shredder,2023-09-02T16:00:00Z,4911661,150296,142067325,899,104,0.035,0.0011
"Make This Kick, Win Super Bowl Tickets",2023-08-25T16:00:25Z,3109486,7528,64962436,52,112,0.048,0.0001
Metal Pipe Vs School Bus,2023-08-22T17:00:00Z,7786683,20500,205838664,28,115,0.038,0.0001
"Every Country On Earth Fights For $250,000!",2023-08-19T16:00:01Z,5550324,356113,151506057,1129,118,0.037,0.0024
Can You Beat A Girl In Arm Wrestling?,2023-08-17T17:00:00Z,10654186,25638,205771762,52,120,0.052,0.0001
"$1 vs $250,000 Vacation!",2023-08-12T15:59:59Z,5542493,108924,205221402,967,125,0.027,0.0005
I Ate The World’s Most Poisonous Fish,2023-08-08T17:30:01Z,13707334,30116,274730794,32,129,0.05,0.0001
7 Days Stranded At Sea,2023-08-05T16:00:01Z,6382400,119743,201751952,1085,132,0.032,0.0006
I Traded My Car At a Red Light,2023-07-15T17:00:01Z,13737830,25021,272629256,47,153,0.05,0.0001
Train Vs Giant Pit,2023-07-08T16:00:00Z,5858867,137199,176222427,636,160,0.033,0.0008
I Buried Treasure in the Bermuda Triangle,2023-07-06T17:00:01Z,11847422,21869,171771708,53,162,0.069,0.0001
"$1 vs $1,000,000,000 Yacht!",2023-06-10T16:00:00Z,6347093,150495,271068353,887,188,0.023,0.0006
Do Pawnshops Scam You?,2023-06-03T16:59:57Z,9370930,18888,184334857,33,195,0.051,0.0001
"Ages 1 - 100 Fight For $500,000",2023-05-27T21:14:59Z,5875646,118220,291263420,1536,202,0.02,0.0004
"1,000 Deaf People Hear For The First Time",2023-05-06T19:59:59Z,5120195,161459,134478724,374,223,0.038,0.0012
Would You Pet a Cheetah in Africa?,2023-05-01T20:00:02Z,16675976,42704,374934348,39,228,0.044,0.0001
Tipping A Waitress A Car,2023-04-22T20:00:00Z,15322068,39236,267103171,38,237,0.057,0.0001
Would you go on a Blind Date in Italy?,2023-04-15T20:00:01Z,14553569,20425,273757417,51,244,0.053,0.0001
"$1 vs $500,000 Plane Ticket!",2023-04-01T20:00:04Z,6957409,166161,307418211,740,258,0.023,0.0005
I Sent a Subscriber to Disneyland,2023-03-30T20:00:00Z,19573279,54718,350656375,27,260,0.056,0.0002
I Paid A Real Assassin To Try To Kill Me,2023-03-18T20:00:01Z,5597604,112565,229552497,737,272,0.024,0.0005
Do Men Lie About Their Height?,2023-02-14T21:00:14Z,13926628,23757,272594556,47,304,0.051,0.0001
"1,000 Blind People See For The First Time",2023-01-28T21:00:00Z,10093476,401005,166459475,481,321,0.061,0.0024
I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,5015318,151370,167052898,730,356,0.03,0.0009
Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,5507562,132482,209890938,625,370,0.026,0.0006
Would You Fly To Paris For A Baguette?,2022-12-08T20:12:27Z,41867910,89210,997082477,48,372,0.042,0.0001
"100 Kids Vs 100 Adults For $500,000",2022-12-03T21:00:00Z,4199514,96319,217885904,923,377,0.019,0.0004
Gordon Ramsay Tries Most Expensive Chocolate Bar!,2022-11-19T20:59:59Z,18520582,35161,367210564,40,391,0.05,0.0001
"Last To Take Hand Off Jet, Keeps It!",2022-11-12T21:00:00Z,4076576,104568,152384772,937,398,0.027,0.0007
Giving iPhones Instead Of Candy on Halloween,2022-11-02T21:00:01Z,31262476,114597,991577235,40,408,0.032,0.0001
"$1 vs $1,000,000 Hotel Room!",2022-10-22T21:00:00Z,6769805,117073,317910852,941,419,0.021,0.0004
"The Rock Vs MrBeast For $100,000",2022-10-21T20:00:06Z,26775314,65912,447498653,55,420,0.06,0.0001
"Survive 100 Days In Circle, Win $500,000",2022-09-24T19:59:59Z,5430531,99948,265215197,1030,447,0.02,0.0004
I Hunted 100 People!,2022-09-03T19:59:59Z,3420766,67690,139732463,723,468,0.024,0.0005
I Survived A Plane Crash,2022-08-20T20:00:00Z,3788585,78048,164495708,494,482,0.023,0.0005
"I Gave My 100,000,000th Subscriber An Island",2022-08-04T19:59:59Z,6438911,236353,192004528,931,498,0.034,0.0012
"100 Boys Vs 100 Girls For $500,000",2022-07-23T20:00:09Z,4430651,143158,183845996,1013,510,0.024,0.0008
I Didn’t Eat Food For 30 Days,2022-07-02T20:00:02Z,3817184,110479,100732194,784,531,0.038,0.0011
I Built Willy Wonka's Chocolate Factory!,2022-06-04T20:00:02Z,6298813,164914,263325062,971,559,0.024,0.0006
"$10,000 Every Day You Survive Prison",2022-04-09T20:00:00Z,5126209,133806,195789112,839,615,0.026,0.0007
"Would You Swim With Sharks For $100,000?",2022-03-19T20:02:32Z,3988674,91588,171581010,541,636,0.023,0.0005
World’s Most Dangerous Escape Room!,2022-01-29T21:00:01Z,5378478,136473,246027440,481,685,0.022,0.0006
"Extreme $1,000,000 Hide And Seek",2021-12-18T21:00:00Z,3580321,125459,98567919,729,727,0.036,0.0013
"$1,000,000 Influencer Tournament!",2021-12-16T21:00:00Z,3082390,88608,83741201,725,729,0.037,0.0011
I Got Hunted By The Military,2021-12-10T21:30:02Z,4406736,96470,194689994,627,735,0.023,0.0005
"$456,000 Squid Game In Real Life!",2021-11-24T21:00:01Z,17374574,620764,545100888,1542,751,0.032,0.0011
I Cleaned The World’s Dirtiest Beach #TeamSeas,2021-10-29T19:59:43Z,5454453,174912,113764869,295,777,0.048,0.0015
"Last To Take Hand Off Lamborghini, Keeps It",2021-10-23T20:00:01Z,4504194,130092,162935708,908,783,0.028,0.0008
"First To Rob Bank Wins $100,000",2021-09-26T20:00:06Z,4163287,120401,167194288,482,810,0.025,0.0007
"Extreme $500,000 Game Of Tag!",2021-09-04T20:00:07Z,4391018,100238,159533548,753,832,0.028,0.0006
"Last To Leave Circle Wins $500,000",2021-08-31T20:01:03Z,6677541,122109,381883812,1064,836,0.017,0.0003
I Got Hunted By The FBI,2021-08-07T23:00:03Z,4328165,96313,191923110,951,860,0.023,0.0005
"If You Can Carry $1,000,000 You Keep It!",2021-07-24T20:00:59Z,3551271,78819,177086212,645,874,0.02,0.0004
"Would YOU Quit School For $100,000?",2021-07-10T20:00:09Z,3411079,85103,156609179,612,888,0.022,0.0005
I Survived 50 Hours In A Maximum Security Prison,2021-06-26T20:00:02Z,3923946,101104,222882009,754,902,0.018,0.0005
"Hit The Target, Win $300,000",2021-06-12T20:00:01Z,3534730,83598,170777526,797,916,0.021,0.0005
Anything You Can Fit In The Triangle I’ll Pay For,2021-06-01T20:00:02Z,3286009,85642,200963081,968,927,0.016,0.0004
I Got Hunted By A Real Bounty Hunter,2021-04-24T20:00:00Z,4034381,126009,186587950,808,965,0.022,0.0007
"Extreme $100,000 Game of Tag!",2021-04-17T20:00:00Z,3680358,120253,199917862,1014,972,0.018,0.0006
"Would You Sit In Snakes For $10,000?",2021-04-10T21:00:07Z,5254921,142721,283438814,847,979,0.019,0.0005
"I Bought The World's Largest Mystery Box! ($500,000)",2021-04-03T20:00:01Z,5017579,176107,224985519,650,986,0.022,0.0008
I Spent 50 Hours Buried Alive,2021-03-27T20:00:04Z,8269704,253727,311727788,760,993,0.027,0.0008
"Offering People $100,000 To Quit Their Job",2021-03-13T21:00:02Z,3242991,115895,128977183,627,1007,0.025,0.0009
I Sold My House For $1,2021-03-06T21:00:02Z,3764639,117571,148193430,560,1014,0.025,0.0008
"I Donated $300,000 To People In Need",2021-02-13T21:00:01Z,3039508,150860,55003320,654,1035,0.055,0.0027
"I Ate $100,000 Golden Ice Cream",2021-01-22T21:00:03Z,5691299,176951,246221203,797,1057,0.023,0.0007
I Bought Everything In 5 Stores,2021-01-09T21:01:25Z,5368754,194333,164582136,854,1070,0.033,0.0012
"Youtube Rewind 2020, Thank God It's Over",2021-01-01T21:00:03Z,5048036,286458,70184601,391,1078,0.072,0.0041
"I Put 1,000,000,000 Christmas Lights On A House (World Record)",2020-12-23T21:00:06Z,2842280,109120,105924793,682,1087,0.027,0.001
I Opened A Restaurant That Pays You To Eat At It,2020-12-19T22:00:03Z,4966440,743613,174556691,572,1091,0.028,0.0043
"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",2020-12-15T21:00:11Z,6461783,186146,193148284,858,1095,0.033,0.001
"Steal This $100,000 Diamond, You Keep It",2020-11-28T21:00:04Z,3547271,96055,201453549,843,1112,0.018,0.0005
"Press This Button To Win $100,000!",2020-11-14T21:00:02Z,4350990,91979,285478640,911,1126,0.015,0.0003
I Survived 24 Hours Straight In Ice,2020-10-29T20:17:44Z,3931960,196397,150203771,694,1142,0.026,0.0013
I Uber’d People And Let Them Keep The Car,2020-10-24T20:00:01Z,3827171,86120,121793112,851,1147,0.031,0.0007
I Filled My Brother’s House With Slime & Bought Him A New One,2020-10-10T20:00:31Z,3791019,119724,208176990,565,1161,0.018,0.0006
Hi Me In 5 Years,2020-10-04T20:00:54Z,6572158,242313,117689652,128,1167,0.056,0.0021
"Would You Rather Have A Giant Diamond or $100,000?",2020-09-26T20:40:02Z,2775980,73468,152978127,744,1175,0.018,0.0005
"I Gave My 40,000,000th Subscriber 40 Cars",2020-09-19T20:00:02Z,4365466,186219,164441858,1031,1182,0.027,0.0011
Why I Haven’t Been Uploading,2020-09-17T20:00:05Z,2754425,98906,55739449,382,1184,0.049,0.0018
"Get This Random Person 1,000,000 Subscribers",2020-09-05T20:00:17Z,2533120,123303,77595591,845,1196,0.033,0.0016
Would YOU Rather Have A Lamborghini or This House?,2020-08-22T20:00:01Z,3752339,153073,191147723,1106,1210,0.02,0.0008
"Last To Leave $800,000 Island Keeps It",2020-08-15T20:00:02Z,5335399,229932,239687473,1275,1217,0.022,0.001
I Bought A Private Island,2020-08-13T20:00:07Z,3797353,131217,158049846,697,1219,0.024,0.0008
"I Spent $1,000,000 On Lottery Tickets and WON",2020-08-08T20:00:02Z,3233116,87508,128984851,613,1224,0.025,0.0007
I Ate The World’s Largest Slice Of Pizza,2020-08-01T20:00:02Z,4278104,137433,240594834,483,1231,0.018,0.0006
I Adopted EVERY Dog In A Dog Shelter,2020-07-23T20:00:11Z,4869904,213725,229097620,964,1240,0.021,0.0009
"I Bought The World's Largest Firework ($600,000)",2020-07-03T21:00:20Z,5104028,182829,205666008,669,1260,0.025,0.0009
I Broke Into A House,2020-06-25T20:00:00Z,3468134,196556,154646479,842,1268,0.022,0.0013
"Would You Rather Have $100,000 OR This Mystery Key?",2020-06-13T20:00:01Z,3603492,120199,194026051,1101,1280,0.019,0.0006
I Built The World's Largest Lego Tower,2020-06-06T20:00:01Z,3290939,76956,162523270,836,1287,0.02,0.0005
I Spent 50 Hours In Solitary Confinement,2020-05-30T20:10:08Z,4928875,118153,308052457,952,1294,0.016,0.0004
If You Click This Video I'll Give My Friend .001$,2020-05-23T21:01:02Z,7129636,168729,200686097,1041,1301,0.036,0.0008
"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)",2020-05-07T19:59:59Z,1409878,66167,45370581,919,1317,0.031,0.0015
Videos I Could Not Upload...,2020-04-30T20:00:08Z,3848714,66771,148198969,812,1324,0.026,0.0005
I Spent 24 Hours In A Doomsday Bunker,2020-04-11T20:00:00Z,3162031,81334,194358750,719,1343,0.016,0.0004
"Giving $1,000,000 Of Food To People In Need",2020-03-27T20:00:05Z,1906876,67890,57472904,749,1358,0.033,0.0012
I Ran A Marathon In The World's Largest Shoes,2020-03-21T20:00:02Z,3384720,72955,151602055,829,1364,0.022,0.0005
"$70,000 Extreme Hide And Seek - Challenge",2020-03-13T20:00:04Z,2627827,70133,132588594,1041,1372,0.02,0.0005
Anything You Can Fit In The Circle I’ll Pay For,2020-03-07T21:00:00Z,5018052,115875,273652498,1200,1378,0.018,0.0004
"I Ate A $70,000 Golden Pizza",2020-02-29T21:00:22Z,4252943,112950,241371213,776,1385,0.018,0.0005
"Lamborghini Race, Winner Keeps Lamborghini",2020-02-08T21:00:02Z,2609053,56460,129989013,888,1406,0.02,0.0004
I Gave My Credit Card To Random People,2020-02-01T21:00:01Z,3903359,99378,176205489,1008,1413,0.022,0.0006
I Went Back To Boy Scouts For A Day,2020-01-25T21:00:01Z,2218934,46759,116441053,818,1420,0.019,0.0004
"$60,000 Extreme Hide And Seek - Challenge",2020-01-17T21:00:01Z,2737181,51130,149421109,1079,1428,0.018,0.0003
"How I Gained 15,000,000 Subscribers In 1 Year",2020-01-03T21:10:01Z,897378,41655,19064060,394,1442,0.047,0.0022
Important Youtube Announcement (please watch),2019-12-28T21:00:06Z,2446080,130856,36975481,155,1448,0.066,0.0035
"Giving 10,000 Presents To Kids For Christmas",2019-12-23T21:00:04Z,3035540,174870,71529418,828,1453,0.042,0.0024
"Spending $1,000,000 In 24 Hours",2019-12-21T21:00:01Z,4472950,128343,176785462,910,1455,0.025,0.0007
"Last To Take Hand Off $1,000,000 Keeps It",2019-12-19T21:00:12Z,3311100,302310,133762698,925,1457,0.025,0.0023
"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",2019-12-14T20:59:57Z,1442891,93625,62274375,705,1462,0.023,0.0015
"Last To Leave Toilet Wins $1,000,000 (Part 3)",2019-12-07T21:11:07Z,1858689,50006,93765645,946,1469,0.02,0.0005
I Ordered Pizza And Tipped The House,2019-12-05T21:00:02Z,4184627,107288,133725081,782,1471,0.031,0.0008
"Last to Stop Swinging Wins $1,000,000 (Part 2)",2019-11-30T21:00:03Z,2216018,82319,122631442,783,1476,0.018,0.0007
"$50,000 Game Of Extreme Hide And Seek - Challenge",2019-11-28T21:00:01Z,2981784,52085,150911175,828,1478,0.02,0.0003
I Opened A FREE BANK,2019-11-23T21:00:17Z,2872232,96202,111276119,652,1483,0.026,0.0009
"Going Around A Ferris Wheel 1,000 Times Straight",2019-11-16T21:00:47Z,2439052,50399,111229050,776,1490,0.022,0.0005
"Last To Fall Wins $1,000,000 (Part 1)",2019-11-14T21:00:31Z,3005077,56778,151063417,1017,1492,0.02,0.0004
Surviving 24 Hours Straight In The Bermuda Triangle,2019-11-09T21:00:55Z,4072156,99634,220044599,701,1497,0.019,0.0005
"I Spent $100,000 On Lottery Tickets And Won!",2019-10-31T20:00:02Z,1301654,30580,50632981,910,1506,0.026,0.0006
"Planting 20,000,000 Trees, My Biggest Project Ever!",2019-10-25T19:01:01Z,4378600,166748,98984173,443,1512,0.044,0.0017
"Last To Take Hand Off Boat, Keeps It",2019-10-19T20:06:01Z,2052720,58939,122280658,1008,1518,0.017,0.0005
"I Searched 100 Dumpsters, Here's What I Found",2019-10-12T20:10:01Z,2783286,58772,177643649,1029,1525,0.016,0.0003
"Going Through The Same Drive Thru 1,000 Times",2019-10-05T20:00:08Z,4800203,133439,256749595,938,1532,0.019,0.0005
"Donating $100,000 To Random Streamers",2019-09-28T20:29:58Z,1816120,44330,60653435,886,1539,0.03,0.0007
Surviving 24 Hours Straight In A Rain Forest,2019-09-21T21:00:00Z,2519263,73715,126419200,789,1546,0.02,0.0006
"Last To Leave Ramen Noodle Pool Wins $20,000",2019-09-13T20:00:05Z,1512051,44729,70488414,872,1554,0.021,0.0006
"Anything You Can Carry, I'll Pay For #2",2019-09-06T20:00:00Z,1527816,33526,70206070,839,1561,0.022,0.0005
"I Gave My Brother 24 Hours To Spend $100,000",2019-08-31T20:00:01Z,2426213,57809,95599486,788,1567,0.025,0.0006
I Opened A Free Car Dealership,2019-08-29T20:00:00Z,3399607,139725,135812481,999,1569,0.025,0.001
"Last To Leave Pool Of $20,000 Keeps It",2019-08-24T20:00:01Z,3144979,83092,164754441,999,1574,0.019,0.0005
Surviving 24 Hours On A Deserted Island,2019-08-22T20:00:07Z,3379438,79663,181528134,832,1576,0.019,0.0004
"Last To Leave Roller Coaster Wins $20,000 - Challenge",2019-08-17T20:00:00Z,2906736,68081,146467870,917,1581,0.02,0.0005
I Won Every Prize At A Theme Park,2019-08-15T19:59:59Z,2914351,69211,166042758,802,1583,0.018,0.0004
Destroying My Friend's Car And Surprising Him With A New One,2019-08-10T20:00:00Z,2755183,62868,106559961,893,1588,0.026,0.0006
I Spent 24 Hours Straight At Area 51,2019-08-02T21:00:01Z,3639211,100170,157022864,919,1596,0.023,0.0006
"Can 50,000 Magnets Catch A Cannon Ball?",2019-07-20T20:00:02Z,2123329,47332,120262820,569,1609,0.018,0.0004
World's Largest Game Of Dodgeball,2019-07-12T20:05:00Z,1596185,57636,78732041,677,1617,0.02,0.0007
"Last To Leave Revolving Door Wins $50,000",2019-07-02T20:00:01Z,3493912,182713,150391463,824,1627,0.023,0.0012
Tipping Waitresses With Real Gold Bars,2019-06-21T20:00:01Z,1799347,86769,68779708,727,1638,0.026,0.0013
I Opened The World's First FREE Store,2019-06-15T20:00:00Z,2277354,77594,86744597,891,1644,0.026,0.0009
Spending 24 Hours On Top Of A Mountain,2019-06-13T20:00:01Z,3532920,114945,181732317,924,1646,0.019,0.0006
"Last To Leave VR Wins $20,000",2019-06-08T20:00:01Z,3122704,96064,149655652,858,1651,0.021,0.0006
"Last To Stop Running Wins $20,000",2019-06-06T20:00:00Z,2274393,67551,111732580,898,1653,0.02,0.0006
"Paying People $10,000 To Eat Ghost Pepper",2019-06-01T20:05:01Z,1123407,36010,40287532,886,1658,0.028,0.0009
24 Hours In The Most Haunted Place On Earth,2019-05-30T20:07:01Z,2872064,138415,125703181,907,1660,0.023,0.0011
I Bought Everything In A Store - Challenge,2019-05-18T20:05:02Z,4211965,184344,148807877,1016,1672,0.028,0.0012
World's Largest Bowl Of Cereal,2019-05-15T21:05:01Z,3061905,86948,200203045,942,1675,0.015,0.0004
Spending 24 Hours In A City With No Laws,2019-05-07T21:00:01Z,2781635,68161,160018727,869,1683,0.017,0.0004
"Giving $10,000 To Random People And Saying Nothing",2019-04-30T20:00:06Z,1789790,51024,77899440,959,1690,0.023,0.0007
Molten Lava Vs Giant Ice Block Experiment,2019-04-27T20:00:02Z,1829550,43361,95197903,458,1693,0.019,0.0005
"Anything You Can Carry, I'll Pay For Challenge",2019-04-20T20:00:03Z,1741279,92712,88311955,909,1700,0.02,0.001
Homeless Man Buys A Lamborghini,2019-04-18T20:05:00Z,3855128,79351,161146002,860,1702,0.024,0.0005
Playing Battleship With Real Ships,2019-04-06T20:05:58Z,1014858,35688,37762801,932,1714,0.027,0.0009
"Donating $100,000 To Shroud In Real Life",2019-04-04T21:05:59Z,880946,21057,32072444,854,1716,0.027,0.0007
"Last To Leave The Tesla, Keeps It Challenge",2019-03-29T21:05:00Z,1941388,45634,108845650,1109,1722,0.018,0.0004
"Donating $100,000 To Streamers With 0 Viewers",2019-03-24T20:00:04Z,3242641,74409,93772821,877,1727,0.035,0.0008
Surviving 24 Hours Straight In A Desert,2019-03-16T20:05:00Z,2907057,94996,144557185,844,1735,0.02,0.0007
"$200,000 Youtuber Battle Royale",2019-03-12T22:00:00Z,1657368,143855,48211869,816,1739,0.034,0.003
Surprising Strangers With 100 Zombies - Experiment,2019-03-03T22:04:59Z,1787460,57358,59911996,589,1748,0.03,0.001
I Gave A Homeless Man A Home,2019-02-28T22:06:00Z,2157308,114041,79882689,806,1751,0.027,0.0014
Standing Still For 24 Hours Straight - Statue Challenge,2019-02-22T22:05:59Z,1887955,37677,107232502,1096,1757,0.018,0.0004
Giant Monopoly Game With Real Money,2019-02-15T22:05:00Z,2289550,69565,107138581,943,1764,0.021,0.0006
I Spent 24 Hours Straight In Insane Asylum,2019-02-10T21:05:00Z,2265628,136110,114198611,956,1769,0.02,0.0012
I Advertised Pewdiepie At The Super Bowl,2019-02-04T22:00:01Z,1259798,66396,44376096,765,1775,0.028,0.0015
I Went Back To 1st Grade For A Day,2019-01-31T22:05:00Z,3276010,141906,196340760,1066,1779,0.017,0.0007
I Opened The World’s Cheapest Store,2019-01-26T21:05:00Z,1150502,84714,41211484,919,1784,0.028,0.0021
I Put 10 Million Legos in Friend's House,2019-01-18T22:04:59Z,1588801,63480,97061956,917,1792,0.016,0.0007
Make This Video The Most Liked Video On Youtube,2019-01-16T22:05:01Z,29493034,311375,146361864,791,1794,0.202,0.0021
"20,000 Magnets Vs A Car",2019-01-14T22:05:00Z,772395,24302,33788057,723,1796,0.023,0.0007
"Eating A $10,000 Golden Steak (24k Gold)",2019-01-11T22:05:00Z,2327744,91932,144821409,990,1799,0.016,0.0006
Last To Take Hand Off House Keeps It!,2019-01-08T21:05:00Z,1569392,44945,85935596,1050,1802,0.018,0.0005
"I Gave Him One Hour To Spend $100,000!",2019-01-01T21:05:01Z,1539489,69476,75658539,830,1809,0.02,0.0009
"How I Gave Away $1,000,000",2018-12-25T21:05:01Z,492436,34606,14438438,914,1816,0.034,0.0024
